,v1 (price only),v4 (price+insider),momentum 20d,SPY buy & hold
2023-09-06,100012.35072543929,91756.26703072982,103729.65181759627,95319.7036585
2023-09-07,100631.44072543929,91707.06512672982,103421.2114356521,95027.9836585
2023-09-08,100463.15544543929,91605.86512672981,103439.6046326521,95169.4236585
2023-09-11,100265.85822193928,92218.72512672983,103901.5129861521,95794.8536585
2023-09-12,100218.8801739393,90538.87899072982,103478.3614101521,95271.08365849999
2023-09-13,100277.77193293929,90441.26222182771,103312.0014101521,95381.58365849999
2023-09-14,100821.8813724393,90839.52513982772,103563.76141015209,96201.4936585
2023-09-15,100004.15033243928,90347.48803982772,102242.69352617173,95045.6636585
2023-09-18,99206.64885243928,90082.61570682772,101400.20651617172,95100.9136585
2023-09-19,99763.0577924393,89974.49728482772,101252.59790217174,94904.2236585
2023-09-20,98915.7332604393,89662.63958782771,100174.8757011895,94035.6936585
2023-09-21,96631.1599944393,88445.29279682772,97911.40819544237,92486.4836585
2023-09-22,96745.92172724467,87930.44279682773,97379.29025303747,92278.7436585
2023-09-25,97086.55423511386,88086.87662648749,97785.54627553748,92665.4936585
2023-09-26,96376.79523417253,86928.06694917733,96284.42324453747,91308.55365850001
2023-09-27,96351.61996017254,86530.25252067731,96206.28324453748,91346.1236585
2023-09-28,97391.27884117253,86771.96571567733,97257.23324453748,91872.1036585
2023-09-29,97303.86452413166,86630.88797767732,95929.87324453748,91651.1036585
2023-10-02,96624.79188616318,85812.23759817732,95420.25387703747,91613.5336585
2023-10-03,95105.79908616316,84467.75497504932,94426.35952251306,90391.4036585
2023-10-04,96288.75908616315,85310.56136904932,95599.71871251304,91047.77365850001
2023-10-05,96276.25787066316,85377.3101455493,95917.89418301305,91014.6236585
2023-10-06,97419.93345316316,86566.89238154932,96332.82707801304,92090.89365849999
2023-10-09,96468.9684233331,86331.12238154931,97281.79377351305,92678.7536585
2023-10-10,97648.07260233311,87111.73655954932,97337.78350301305,93158.3236585
2023-10-11,97121.45009283311,87415.85716804932,97875.34647851305,93538.4436585
2023-10-12,96283.64574133311,87376.90658490246,97207.40647851306,92970.4736585
2023-10-13,95490.4073683128,87322.69036742362,97995.49647851306,92508.58365849999
2023-10-16,96242.67075431278,88037.02476292364,97928.05647851304,93478.77365850001
2023-10-17,96733.23811831279,88030.41136042365,98005.22207751306,93474.3536585
2023-10-18,95342.93899781279,87557.30955792365,97358.83101951305,92234.5436585
2023-10-19,96012.20899781279,86094.57005042363,96079.38267323318,91425.6836585
2023-10-20,95065.91664681278,84828.15252168331,94834.37096335969,90307.4236585
2023-10-23,95596.64652881278,84739.3881861833,94240.15767285971,90150.5136585
2023-10-24,96681.59560474617,86739.56818618331,94912.34628285968,90828.9836585
2023-10-25,94955.43005274616,85196.66396618329,93786.85893840312,89529.5036585
2023-10-26,93841.8629283212,83983.02586489517,93004.94442640312,88459.86365849999
2023-10-27,93787.96322232703,83069.14750539516,92013.13442640312,88062.06365849999
2023-10-30,94811.33236782701,83926.27873189517,92460.21442640311,89109.6036585
2023-10-31,95577.57236782704,84563.21287189517,93321.73442640313,89668.7336585
2023-11-01,97490.93998232702,85337.52791189517,93184.43842840313,90621.2436585
2023-11-02,100077.73221360834,88039.98081927552,94829.10493240312,92351.6736585
2023-11-03,100557.94845917472,89258.02926147962,95954.06785290311,93191.4736585
2023-11-06,99930.49032517475,89137.23350306565,95653.09211390311,93403.6336585
2023-11-07,99335.19671939976,88905.77341556564,95247.56631327311,93668.83365849999
2023-11-08,98972.67882789976,88149.61255817406,95049.88616327311,93737.34365849999
2023-11-09,99055.41524039977,87002.33393844058,93876.65074277311,93010.2536585
2023-11-10,99863.53929239977,87949.0841924406,94860.21765577311,94455.59365849999
2023-11-13,100179.73914389979,87859.7761429406,95517.48903767287,94367.1936585
2023-11-14,101312.66914389975,90001.33573344059,98403.05541412694,96190.4436585
2023-11-15,101422.31914389977,90795.6678234406,99436.64100612693,96393.7636585
2023-11-16,100457.37316377752,90227.8238704406,100255.50535062692,96510.89365849999
2023-11-17,101059.63111827751,91135.71177294059,100683.56523008202,96630.2336585
2023-11-20,101126.3252277775,91563.7753069406,101402.34109344348,97372.7936585
2023-11-21,101041.74720477752,91203.6983274406,100743.05435494348,97160.6336585
2023-11-22,101486.95951077752,91722.79171294058,101490.61392694348,97534.1236585
2023-11-24,101759.03564327753,92106.4275509406,101626.10413144348,97593.7936585
2023-11-27,102011.1875652775,91511.76653794058,102088.02902444349,97419.2036585
