,"3 folds (2022-24, as shipped)","6 folds (2019-24, extended)",SPY over 2022-24,SPY over 2019-24
2023-01-27,92493.28085108576,142356.3942437339,86042.1236585,174593.027125
2023-01-30,92415.52200508578,142248.49898073397,84965.8536585,172401.527125
2023-01-31,93323.16374708578,143882.61616973393,86210.08365849999,174935.027125
2023-02-01,92902.32524008576,144034.22791423395,87122.81365849999,176793.527125
2023-02-02,91290.15600323722,141464.17161431778,88386.9336585,179367.527125
2023-02-03,90940.9294662372,140737.64924031778,87449.89365849999,177459.527125
2023-02-06,91296.98334676957,141143.97726131784,86917.2836585,176375.027125
2023-02-07,91669.49992376957,142076.42533252493,88051.0136585,178683.527125
2023-02-08,91445.12639376956,141760.37214702493,87091.8736585,176730.527125
2023-02-09,91233.88481476957,141732.26876652497,86338.2636585,175196.027125
2023-02-10,91618.07619876959,143984.23120452493,86539.3736585,175605.527125
2023-02-13,92670.38123276955,145002.32204152492,87551.55365850001,177666.527125
2023-02-14,92313.57994176957,144317.54499002497,87511.77365850001,177585.527125
2023-02-15,92421.94898076955,144566.80361302497,87794.6536585,178161.527125
2023-02-16,92012.19808726957,143307.265283025,86590.2036585,175709.027125
2023-02-17,91413.35294311584,143553.0797395425,86375.83365849999,175272.527125
2023-02-21,90483.73736511584,142181.2749955425,84649.8236585,171758.027125
2023-02-22,90292.64333261584,141646.55337754253,84532.6936585,171519.527125
2023-02-23,90411.74725111584,141908.22187691246,84981.3236585,172433.027125
2023-02-24,89932.66255511585,141250.49563241247,84075.2236585,170588.027125
2023-02-27,89815.60384573253,141692.74789141247,84362.52365850001,171173.027125
2023-02-28,89718.78818573253,141239.58494041243,84050.9136585,170538.527125
2023-03-01,90096.36552973255,141959.38068841246,83730.4636585,169886.027125
2023-03-02,90719.22027473254,142434.19887886933,84377.9936585,171204.527125
2023-03-03,91828.25137673253,144070.6787173693,85726.09365849999,173949.527125
2023-03-06,91836.34848523252,143567.5364808693,85785.7636585,174071.027125
2023-03-07,90914.84184073254,141833.09315436927,84475.2336585,171402.527125
