,v1  CLS price,—   CLS price+v3,v4  CLS price+insider,—   CLS price+v3+insider,v2  REG price,v3  REG price+v3,—   REG price+insider,—   REG price+v3+insider,mom 20d,SPY
2023-04-11,85222.00140279686,102058.8753647373,106600.65330454486,107344.22193152462,87389.92606360094,102843.23589659052,76968.64806063124,115770.60564139063,96738.59325660879,87224.4736585
2023-04-12,84644.32798279687,101394.6921837373,106285.65780560787,106486.98515252465,86016.03542660095,102387.52287109052,77062.91206063124,115877.57547589063,96473.14832010877,86870.8736585
2023-04-13,85091.32984029685,102421.4780447373,106740.95263860788,106955.77400352464,86643.43834660095,102964.16667409052,77363.25708663123,116328.36621439063,97455.40033960875,88020.0736585
2023-04-14,85084.63664979686,102186.65910023729,107038.76259260788,106668.56868502463,85843.92956060094,102321.15667409051,77265.79766763124,115974.98621439064,97031.25732560876,87805.7036585
2023-04-17,85463.96505229684,102061.3414907373,107565.26044260786,105984.27604202465,86480.23835110095,102655.24502259052,77265.50382963124,116581.44621439061,96047.07095423523,88119.52365850001
2023-04-18,85994.88947379684,102269.57258423729,108305.19331060786,106140.03175202465,86324.40822810096,101795.31137659053,77356.68693113123,116311.42621439062,96168.28366173523,88176.9836585
2023-04-19,85570.49868379685,102272.01386273731,108475.90331060787,105708.14175202465,86311.58822810095,102082.23137659051,77177.44867413123,115508.47621439064,95806.87366173523,88163.7236585
2023-04-20,85113.2517674106,101986.4138627373,108015.19331060785,104937.71458152462,85153.88261085095,101249.76038659053,76214.44258132894,116208.06150039345,95182.42366173523,87684.1536585
2023-04-21,85234.4543644106,101367.3465247373,108070.31471860787,104615.44529226738,84514.43421465094,100397.77692459054,76036.04605632895,115804.56015839348,95122.2223830412,87750.4536585
2023-04-24,85358.6439354106,102468.0837877373,108291.04575260787,105817.64748876738,84040.87882063899,100935.24298959051,75939.70761132895,116906.64185589345,95518.1670805412,87843.27365850001
2023-04-25,83945.8539354106,100132.125773545,106249.92811610785,103703.84859813562,83236.28183563898,98820.4632192122,73481.09136700732,114666.74980333282,94082.0570805412,86453.1836585
2023-04-26,84123.1125794106,99250.23277104502,106556.61088960787,102649.75380463562,82075.00292063897,97650.17212121219,72930.59821400732,113528.55473133283,92184.72803954121,86088.5336585
2023-04-27,85249.4538794106,99968.91030504499,108535.60280710788,102185.57418913563,84236.57454563899,98008.23056034734,74037.71606920382,114096.55846283284,92410.89953004119,87796.86365849999
2023-04-28,85739.30711668564,101421.32862204501,109211.62518360789,102805.69026113562,86854.49173117435,99809.81490894734,75334.91831670015,116186.99404178283,93691.06906654118,88541.6336585
2023-05-01,85996.58831718561,100934.85545404498,109467.61643760788,102581.33564613562,85959.36845217437,98672.19090894733,75247.55138020015,114908.34104178283,93540.78906654118,88453.2336585
2023-05-02,85179.50251968563,98093.19719541706,108425.98007960788,99921.91138431424,82916.97624090374,95415.41328493063,73928.12134815381,109561.17850218862,91963.29134043932,87463.1536585
2023-05-03,84536.26257018565,96791.92541453979,107940.93233626531,98648.73059946834,82570.59563240374,93543.73047306147,73163.44132865382,108660.4054047386,92141.3538254393,86864.2436585
2023-05-04,83113.97121953047,95890.05531064514,106454.9658625771,98060.65032114317,82232.89563240374,92059.59553333954,72633.52374736557,107030.18995076595,91279.71382543934,86252.0736585
